path,classification,rule_reason,owner,component_ids,trail_ids,disposition
"Assets/Prefabs/Items/Banana.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Carrots.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Cereal.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Chips.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Chocolate.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Eggs.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Milk.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Muffin.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Soda.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Visuals/Cereal Visuals.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Visuals/EggCarton Visuals.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Visuals/Milk Visuals.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Visuals/MilkBottle Visuals.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Items/Visuals/SodaBottle Visuals.prefab","serialized-wiring","runtime configuration","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/BASE LEVEL.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/Camera Trigger.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/Circle Platform.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/Dev Free-Cam.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/Donut Platform.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/Dough.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/Entrance (Spawn).prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/Managers/AudioManager.prefab","serialized-wiring","runtime configuration","coordinator","component:game-manager","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/Managers/Camera Manager.prefab","serialized-wiring","runtime configuration","coordinator","component:game-manager","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/Managers/Debug Controller.prefab","serialized-wiring","runtime configuration","coordinator","component:game-manager","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/Managers/Game Manager.prefab","serialized-wiring","runtime configuration","coordinator","component:game-manager","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/Managers/Grocery List Manager.prefab","serialized-wiring","runtime configuration","coordinator","component:game-manager","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/Managers/Scene Event Manager.prefab","serialized-wiring","runtime configuration","coordinator","component:game-manager","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/Managers/Timer Manager.prefab","serialized-wiring","runtime configuration","coordinator","component:game-manager","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/Managers/UI Manager.prefab","serialized-wiring","runtime configuration","coordinator","component:game-manager","trace:shopping-run","mapped"
"Assets/Prefabs/Level Components/Prototype Platform.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/Staging Shelf/Shelf Row.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/UI/EventSystem.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/UI/In - Game Canvas.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/UI/Level Beat Canvas.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Level Components/UI/Transition Canvas.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/NPC.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Particle Effects/Ripple_PS.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/Player/KCC Player Controller.prefab","serialized-wiring","runtime configuration","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Prefabs/Player/Legacy Character Controller.prefab","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","trace:shopping-run","excluded-inactive"
"Assets/Prefabs/Player/Shadow Decal.prefab","serialized-wiring","runtime configuration","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Prefabs/Player/V2/Player Controller V2.prefab","serialized-wiring","runtime configuration","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Prefabs/UI/Completion Time.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/UI/Item UI Text.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Prefabs/UI/Pause Canvas.prefab","serialized-wiring","runtime configuration","coordinator","","","mapped"
"Assets/Scenes/Levels/Base Level.unity","serialized-wiring","runtime configuration","coordinator","component:campaign-scenes","trace:shopping-run","mapped"
"Assets/Scenes/Levels/GameOver.unity","serialized-wiring","runtime configuration","coordinator","component:campaign-scenes","trace:shopping-run","mapped"
"Assets/Scenes/Levels/Level 1.unity","serialized-wiring","runtime configuration","coordinator","component:campaign-scenes","trace:shopping-run","mapped"
"Assets/Scenes/Levels/Level 2.unity","serialized-wiring","runtime configuration","coordinator","component:campaign-scenes","trace:shopping-run","mapped"
"Assets/Scenes/Levels/Level 3.unity","serialized-wiring","runtime configuration","coordinator","component:campaign-scenes","trace:shopping-run","mapped"
"Assets/Scenes/Levels/Level 4.unity","serialized-wiring","runtime configuration","coordinator","component:campaign-scenes","trace:shopping-run","mapped"
"Assets/Scenes/Levels/Main Menu.unity","serialized-wiring","runtime configuration","coordinator","component:campaign-scenes","trace:shopping-run","mapped"
"Assets/Scripts/Camera/CameraSystem.cs","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Camera/CameraTrigger.cs","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Camera/DollyCartTweener.cs","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Gameplay/EntranceController.cs","first-party-runtime","production source","core-loop","component:game-manager","trace:shopping-run","mapped"
"Assets/Scripts/Gameplay/GameStateTrigger.cs","first-party-runtime","production source","core-loop","component:game-manager","trace:shopping-run","mapped"
"Assets/Scripts/Gameplay/GroceryListManager.cs","first-party-runtime","production source","core-loop","component:grocery-list","trace:shopping-run","mapped"
"Assets/Scripts/Gameplay/MovingPlatform.cs","first-party-runtime","production source","core-loop","component:game-manager","trace:shopping-run","mapped"
"Assets/Scripts/Gameplay/StagingAreaController.cs","first-party-runtime","production source","core-loop","component:game-manager","trace:shopping-run","mapped"
"Assets/Scripts/Input/Input.asset","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Input/InputReader.cs","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Interaction/IInteractable.cs","first-party-runtime","production source","presentation-social","component:interaction","trace:shopping-run","mapped"
"Assets/Scripts/Interaction/InteractionController.cs","first-party-runtime","production source","presentation-social","component:interaction","trace:shopping-run","mapped"
"Assets/Scripts/Items/Item.cs","first-party-runtime","production source","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Scripts/Items/ShelfItemSpawner.cs","first-party-runtime","production source","core-loop","component:item","trace:shopping-run","mapped"
"Assets/Scripts/Managers/AudioManager.cs","first-party-runtime","production source","presentation-social","component:audio","trace:shopping-run","mapped"
"Assets/Scripts/Managers/EndScreenManager.cs","first-party-runtime","production source","core-loop","component:game-manager","trace:shopping-run","mapped"
"Assets/Scripts/Managers/GameManager.cs","first-party-runtime","production source","core-loop","component:game-manager","trace:shopping-run","mapped"
"Assets/Scripts/Managers/MainMenuController.cs","first-party-runtime","production source","presentation-social","component:menu","trace:shopping-run","mapped"
"Assets/Scripts/Managers/SceneEventManager.cs","first-party-runtime","production source","core-loop","component:game-manager","trace:shopping-run","mapped"
"Assets/Scripts/Managers/TimerManager.cs","first-party-runtime","production source","core-loop","component:game-manager","trace:shopping-run","mapped"
"Assets/Scripts/Managers/UIManager.cs","first-party-runtime","production source","presentation-social","component:ui","trace:shopping-run","mapped"
"Assets/Scripts/NPC/NPCController.cs","first-party-runtime","production source","presentation-social","component:npc","trace:shopping-run","mapped"
"Assets/Scripts/Player/Contracts/CrazyMarket.Player.Contracts.asmdef","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Player/Contracts/IPlayerSceneControl.cs","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Player/KinematicPlayerController/KCCPlayerController.cs","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Player/LegacyStateMachineController/MovementController.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/PlayerBaseState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/PlayerStateFactory.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/PlayerStateMachine.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/Interfaces/IRootState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/PlayerIdleState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/PlayerRunState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/PlayerWalkState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/RootStates/PlayerFallState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/RootStates/PlayerFlyState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/RootStates/PlayerGroundedState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/RootStates/PlayerJumpState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/LegacyStateMachineController/StateMachine/States/RootStates/PlayerWallRunState.cs","inactive-first-party","legacy/inactive controller","player-feel","component:legacy-player","","excluded-inactive"
"Assets/Scripts/Player/PlayerCollisionManager.cs","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Player/RespawnComponent.cs","first-party-runtime","production source","player-feel","component:legacy-player","trace:shopping-run","mapped"
"Assets/Scripts/Player/V2/Abilities/DoubleJumpAbility.cs","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/Player/V2/Abilities/PlayerAbilityComponent.cs","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/Player/V2/Core/PlayerContracts.cs","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/Player/V2/Core/PlayerLocomotionMachine.cs","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/Player/V2/Data/PlayerProfile.cs","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/Player/V2/Editor/PlayerControllerV2Editor.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","player-feel","component:v2-player","trace:v2-locomotion","excluded-tooling"
"Assets/Scripts/Player/V2/Editor/PlayerProfileEditor.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","player-feel","component:v2-player","trace:v2-locomotion","excluded-tooling"
"Assets/Scripts/Player/V2/Editor/PlayerV2VerticalSliceBuilder.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","player-feel","component:v2-player","trace:v2-locomotion","excluded-tooling"
"Assets/Scripts/Player/V2/Generated/PlayerProfileV2_Production.asset","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/Player/V2/Unity/PlayerAnimationPresenter.cs","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/Player/V2/Unity/PlayerControllerV2.cs","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/Player/V2/Unity/TestCampusPlayerV2Bridge.cs","first-party-runtime","production source","player-feel","component:v2-player","trace:v2-locomotion","mapped"
"Assets/Scripts/SOAP/GameData/GameSaveData.cs","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/SOAP/GameData/GameSaveManager.asset","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/SOAP/GameData/GameSaveManager.cs","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/SOAP/GameData/LevelBeatTime.asset","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/SOAP/GameData/LevelSaveData.cs","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/SOAP/GameData/LevelTimeEntry.cs","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/SOAP/GameSettings/GameSettingsData.asset","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/SOAP/GameSettings/GameSettingsData.cs","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/SOAP/GameSettings/GameSettingsManager.cs","first-party-runtime","production source","core-loop","component:save","trace:shopping-run","mapped"
"Assets/Scripts/Tools/DebugCommandBase.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","coordinator","","","excluded-tooling"
"Assets/Scripts/Tools/DebugController.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","coordinator","","","excluded-tooling"
"Assets/Scripts/Tools/Editor/CustomEditorTools.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","coordinator","","","excluded-tooling"
"Assets/Scripts/Tools/Editor/GameSaveManagerEditor.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","coordinator","","","excluded-tooling"
"Assets/Scripts/Tools/Editor/GameSettingsManagerEditor.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","coordinator","","","excluded-tooling"
"Assets/Scripts/Tools/Editor/ItemCreationPopup.cs","first-party-tooling","editor/debug tooling outside player-facing runtime","coordinator","","","excluded-tooling"
"Assets/Scripts/Utility/ArrowController.cs","first-party-runtime","production source","presentation-social","component:menu","trace:shopping-run","mapped"
"Assets/Scripts/Utility/SceneTransitioner.cs","first-party-runtime","production source","presentation-social","component:menu","trace:shopping-run","mapped"
"Assets/Scripts/Utility/ShadowDecal.cs","first-party-runtime","production source","presentation-social","component:menu","trace:shopping-run","mapped"
"CONTEXT.md","documentation","project language/mission evidence","coordinator","","","context-only"
"MISSION.md","documentation","project language/mission evidence","coordinator","","","context-only"
"ProjectSettings/EditorBuildSettings.asset","serialized-wiring","runtime configuration","coordinator","","","mapped"
